album,end_date,music,rank,singer,start_date,week_num,year
듣고 싶던 말,2022.11.05,듣고 싶던 말,76,허각,2022.10.30,45,2022
MAP OF THE SOUL : 7,2022.10.22,00:00 (Zero O`Clock),83,방탄소년단,2022.10.16,43,2022
어떻게 지내 (답가),2022.11.12,어떻게 지내 (답가),75,런치,2022.11.06,46,2022
IT`z ME,2022.11.19,WANNABE,71,ITZY (있지),2022.11.13,47,2022
너를 만나,2022.11.26,너를 만나,69,폴킴,2022.11.20,48,2022
YOU NEVER WALK ALONE,2020.03.14,봄날,52,방탄소년단,2020.03.08,11,2020
I met you when I was 18. (the playlist),2020.03.07,Paris In The Rain,53,Lauv,2020.03.01,10,2020
사랑의 불시착 OST Part 11,2020.03.21,마음을 드려요,51,아이유 (IU),2020.03.15,12,2020
슬기로운 의사생활 OST Part 2,2020.04.04,좋은 사람 있으면 소개시켜줘,48,조이 (JOY),2020.03.29,14,2020
MORE & MORE,2020.03.28,MORE & MORE,49,TWICE,2020.03.22,13,2020
`The ReVe Festival` Finale,2020.04.11,Psycho,47,레드벨벳(Red Velvet),2020.04.05,15,2020
이태원 클라쓰 OST Part.2,2020.04.25,시작,44,가호 (Gaho),2020.04.19,17,2020
Red Moon : To You My Light,2020.04.18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),45,마크툽 (Maktub),2020.04.12,16,2020
MAP OF THE SOUL : 7,2020.05.02,ON,43,방탄소년단,2020.04.26,18,2020
`키스 먼저 할까요?` OST Part 3,2020.05.16,"모든 날, 모든 순간 (Every day, Every Moment)",40,폴킴,2020.05.10,20,2020
아무노래,2020.05.23,아무노래,39,지코 (ZICO),2020.05.17,21,2020
늦은 밤 너의 집 앞 골목길에서,2020.05.30,늦은 밤 너의 집 앞 골목길에서,37,노을,2020.05.24,22,2020
Speak Your Mind (Deluxe),2020.06.06,2002,36,Anne-Marie,2020.05.31,23,2020
거짓말이라도 해서 널 보고싶어,2020.06.13,거짓말이라도 해서 널 보고싶어,35,백지영,2020.06.07,24,2020
CEREMONIA,2020.05.09,처음처럼,41,엠씨더맥스 (M.C The Max),2020.05.03,19,2020
Don`t Start Now,2020.06.20,Don`t Start Now,33,Dua Lipa,2020.06.14,25,2020
멜로가 체질 OST Part 3,2020.07.04,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,31,장범준,2020.06.28,27,2020
슬기로운 의사생활 OST Part 11,2020.07.11,사랑하게 될 줄 알았어,29,전미도,2020.07.05,28,2020
MAP OF THE SOUL : PERSONA,2020.07.18,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),28,방탄소년단,2020.07.12,29,2020
항해,2020.06.27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32,AKMU (악뮤),2020.06.21,26,2020
Love poem,2020.07.25,Blueming,27,아이유 (IU),2020.07.19,30,2020
여름 안에서 (Covered By 싹쓰리),2020.08.08,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),24,"싹쓰리 (유두래곤, 린다G, 비룡)",2020.08.02,32,2020
두리쥬와 X LINDA X 신난다,2020.08.01,신난다 (Feat. 마마무),25,비룡,2020.07.26,31,2020
보라빛 밤 (pporappippam),2020.08.22,보라빛 밤 (pporappippam),21,선미,2020.08.16,34,2020
NONSTOP,2020.08.29,살짝 설렜어 (Nonstop),20,오마이걸 (OH MY GIRL),2020.08.23,35,2020
Dance Monkey,2020.08.15,Dance Monkey,23,Tones And I,2020.08.09,33,2020
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST,2020.09.05,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),19,규현 (KYUHYUN),2020.08.30,36,2020
MAP OF THE SOUL : 7,2022.09.17,Filter,99,방탄소년단,2022.09.11,38,2022
낭만닥터 김사부 2 OST Part.1,2022.10.01,너를 사랑하고 있어,92,백현 (BAEKHYUN),2022.09.25,40,2022
낭만닥터 김사부 2 OST Part.1,2022.09.24,너를 사랑하고 있어,92,백현 (BAEKHYUN),2022.09.18,39,2022
사랑이란 멜로는 없어,2022.10.15,사랑이란 멜로는 없어,88,전상근,2022.10.09,42,2022
시든 꽃에 물을 주듯,2022.10.08,시든 꽃에 물을 주듯,85,HYNN(박혜원),2022.10.02,41,2022
To Die For,2022.10.29,To Die For,80,Sam Smith,2022.10.23,44,2022
BLOOM*IZ,2022.11.05,FIESTA,77,IZ*ONE (아이즈원),2022.10.30,45,2022
MAP OF THE SOUL : 7,2022.10.22,Black Swan,84,방탄소년단,2022.10.16,43,2022
듣고 싶던 말,2022.11.12,듣고 싶던 말,76,허각,2022.11.06,46,2022
Stuck with U,2022.11.19,Stuck with U,72,"Ariana Grande, Justin Bieber",2022.11.13,47,2022
Painkiller,2022.11.26,Painkiller,70,Ruel,2022.11.20,48,2022
I met you when I was 18. (the playlist),2020.03.14,Paris In The Rain,53,Lauv,2020.03.08,11,2020
Love poem,2020.03.07,Love poem,54,아이유 (IU),2020.03.01,10,2020
YOU NEVER WALK ALONE,2020.03.21,봄날,52,방탄소년단,2020.03.15,12,2020
MORE & MORE,2020.04.04,MORE & MORE,49,TWICE,2020.03.29,14,2020
내일은 미스터트롯 우승자 특전곡,2020.03.28,이제 나만 믿어요,50,임영웅,2020.03.22,13,2020
슬기로운 의사생활 OST Part 2,2020.04.11,좋은 사람 있으면 소개시켜줘,48,조이 (JOY),2020.04.05,15,2020
Red Moon : To You My Light,2020.04.25,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),45,마크툽 (Maktub),2020.04.19,17,2020
PLAY,2020.04.18,PLAY (Feat. 창모),46,청하,2020.04.12,16,2020
이태원 클라쓰 OST Part.2,2020.05.02,시작,44,가호 (Gaho),2020.04.26,18,2020
CEREMONIA,2020.05.16,처음처럼,41,엠씨더맥스 (M.C The Max),2020.05.10,20,2020
`키스 먼저 할까요?` OST Part 3,2020.05.23,"모든 날, 모든 순간 (Every day, Every Moment)",40,폴킴,2020.05.17,21,2020
한 걸음 : 흔적,2020.05.30,사랑은 지날수록 더욱 선명하게 남아,38,전상근,2020.05.24,22,2020
늦은 밤 너의 집 앞 골목길에서,2020.06.06,늦은 밤 너의 집 앞 골목길에서,37,노을,2020.05.31,23,2020
Speak Your Mind (Deluxe),2020.06.13,2002,36,Anne-Marie,2020.06.07,24,2020
I-LAND Part.1 Signal Song,2020.05.09,Into the I-LAND,42,아이유 (IU),2020.05.03,19,2020
두리쥬와 X LINDA X 신난다,2020.06.20,LINDA (Feat. 윤미래),34,린다G,2020.06.14,25,2020
항해,2020.07.04,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32,AKMU (악뮤),2020.06.28,27,2020
Boyhood,2020.07.11,METEOR,30,창모 (CHANGMO),2020.07.05,28,2020
슬기로운 의사생활 OST Part 11,2020.07.18,사랑하게 될 줄 알았어,29,전미도,2020.07.12,29,2020
Don`t Start Now,2020.06.27,Don`t Start Now,33,Dua Lipa,2020.06.21,26,2020
MAP OF THE SOUL : PERSONA,2020.07.25,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),28,방탄소년단,2020.07.19,30,2020
두리쥬와 X LINDA X 신난다,2020.08.08,신난다 (Feat. 마마무),25,비룡,2020.08.02,32,2020
어떻게 지내,2020.08.01,어떻게 지내,26,오반 (OVAN),2020.07.26,31,2020
Memories,2020.08.22,Memories,22,Maroon 5,2020.08.16,34,2020
보라빛 밤 (pporappippam),2020.08.29,보라빛 밤 (pporappippam),21,선미,2020.08.23,35,2020
여름 안에서 (Covered By 싹쓰리),2020.08.15,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),24,"싹쓰리 (유두래곤, 린다G, 비룡)",2020.08.09,33,2020
NONSTOP,2020.09.05,살짝 설렜어 (Nonstop),20,오마이걸 (OH MY GIRL),2020.08.30,36,2020
MAP OF THE SOUL : 7,2022.09.17,Moon,100,방탄소년단,2022.09.11,38,2022
7th Mini Album [Unforgettable],2022.10.01,Obliviate,93,러블리즈,2022.09.25,40,2022
7th Mini Album [Unforgettable],2022.09.24,Obliviate,93,러블리즈,2022.09.18,39,2022
MAP OF THE SOUL : 7,2022.10.15,친구,89,방탄소년단,2022.10.09,42,2022
"다시는 사랑하지 않고, 이별에 아파하기 싫어",2022.10.08,"다시는 사랑하지 않고, 이별에 아파하기 싫어",86,백지영,2022.10.02,41,2022
reality in BLACK,2022.10.29,HIP,81,마마무 (Mamamoo),2022.10.23,44,2022
우리家,2022.11.05,우산이 없어요,78,김호중,2022.10.30,45,2022
시든 꽃에 물을 주듯,2022.10.22,시든 꽃에 물을 주듯,85,HYNN(박혜원),2022.10.16,43,2022
BLOOM*IZ,2022.11.12,FIESTA,77,IZ*ONE (아이즈원),2022.11.06,46,2022
반만,2022.11.19,반만,73,진민호,2022.11.13,47,2022
IT`z ME,2022.11.26,WANNABE,71,ITZY (있지),2022.11.20,48,2022
Love poem,2020.03.14,Love poem,54,아이유 (IU),2020.03.08,11,2020
우리 왜 헤어져야 해,2020.03.07,우리 왜 헤어져야 해,55,신예영,2020.03.01,10,2020
I met you when I was 18. (the playlist),2020.03.21,Paris In The Rain,53,Lauv,2020.03.15,12,2020
내일은 미스터트롯 우승자 특전곡,2020.04.04,이제 나만 믿어요,50,임영웅,2020.03.29,14,2020
사랑의 불시착 OST Part 11,2020.03.28,마음을 드려요,51,아이유 (IU),2020.03.22,13,2020
MORE & MORE,2020.04.11,MORE & MORE,49,TWICE,2020.04.05,15,2020
PLAY,2020.04.25,PLAY (Feat. 창모),46,청하,2020.04.19,17,2020
`The ReVe Festival` Finale,2020.04.18,Psycho,47,레드벨벳(Red Velvet),2020.04.12,16,2020
Red Moon : To You My Light,2020.05.02,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),45,마크툽 (Maktub),2020.04.26,18,2020
I-LAND Part.1 Signal Song,2020.05.16,Into the I-LAND,42,아이유 (IU),2020.05.10,20,2020
CEREMONIA,2020.05.23,처음처럼,41,엠씨더맥스 (M.C The Max),2020.05.17,21,2020
아무노래,2020.05.30,아무노래,39,지코 (ZICO),2020.05.24,22,2020
한 걸음 : 흔적,2020.06.06,사랑은 지날수록 더욱 선명하게 남아,38,전상근,2020.05.31,23,2020
늦은 밤 너의 집 앞 골목길에서,2020.06.13,늦은 밤 너의 집 앞 골목길에서,37,노을,2020.06.07,24,2020
MAP OF THE SOUL : 7,2020.05.09,ON,43,방탄소년단,2020.05.03,19,2020
거짓말이라도 해서 널 보고싶어,2020.06.20,거짓말이라도 해서 널 보고싶어,35,백지영,2020.06.14,25,2020
Don`t Start Now,2020.07.04,Don`t Start Now,33,Dua Lipa,2020.06.28,27,2020
멜로가 체질 OST Part 3,2020.07.11,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,31,장범준,2020.07.05,28,2020
Boyhood,2020.07.18,METEOR,30,창모 (CHANGMO),2020.07.12,29,2020
두리쥬와 X LINDA X 신난다,2020.06.27,LINDA (Feat. 윤미래),34,린다G,2020.06.21,26,2020
슬기로운 의사생활 OST Part 11,2020.07.25,사랑하게 될 줄 알았어,29,전미도,2020.07.19,30,2020
어떻게 지내,2020.08.08,어떻게 지내,26,오반 (OVAN),2020.08.02,32,2020
Love poem,2020.08.01,Blueming,27,아이유 (IU),2020.07.26,31,2020
Dance Monkey,2020.08.22,Dance Monkey,23,Tones And I,2020.08.16,34,2020
Memories,2020.08.29,Memories,22,Maroon 5,2020.08.23,35,2020
두리쥬와 X LINDA X 신난다,2020.08.15,신난다 (Feat. 마마무),25,비룡,2020.08.09,33,2020
보라빛 밤 (pporappippam),2020.09.05,보라빛 밤 (pporappippam),21,선미,2020.08.30,36,2020
슬기로운 의사생활 OST Part 8,2022.10.01,내 눈물 모아,94,휘인 (Whee In),2022.09.25,40,2022
슬기로운 의사생활 OST Part 8,2022.09.24,내 눈물 모아,94,휘인 (Whee In),2022.09.18,39,2022
내일은 미스터트롯 결승전 베스트,2022.10.15,찐이야,90,영탁,2022.10.09,42,2022
비,2022.10.08,비,87,폴킴,2022.10.02,41,2022
우리家,2022.10.29,만개 (Prod. 신지후),82,김호중,2022.10.23,44,2022
이태원 클라쓰 OST Part.3,2022.11.05,돌덩이,79,하현우,2022.10.30,45,2022
"다시는 사랑하지 않고, 이별에 아파하기 싫어",2022.10.22,"다시는 사랑하지 않고, 이별에 아파하기 싫어",86,백지영,2022.10.16,43,2022
우리家,2022.11.12,우산이 없어요,78,김호중,2022.11.06,46,2022
슬기로운 의사생활 OST Part 12,2022.11.19,"너에게 난, 나에게 넌",74,미도와 파라솔,2022.11.13,47,2022
Stuck with U,2022.11.26,Stuck with U,72,"Ariana Grande, Justin Bieber",2022.11.20,48,2022
우리 왜 헤어져야 해,2020.03.14,우리 왜 헤어져야 해,55,신예영,2020.03.08,11,2020
나비와 고양이,2020.03.07,나비와 고양이 (Feat. 백현 (BAEKHYUN)),56,볼빨간사춘기,2020.03.01,10,2020
Love poem,2020.03.21,Love poem,54,아이유 (IU),2020.03.15,12,2020
사랑의 불시착 OST Part 11,2020.04.04,마음을 드려요,51,아이유 (IU),2020.03.29,14,2020
YOU NEVER WALK ALONE,2020.03.28,봄날,52,방탄소년단,2020.03.22,13,2020
내일은 미스터트롯 우승자 특전곡,2020.04.11,이제 나만 믿어요,50,임영웅,2020.04.05,15,2020
`The ReVe Festival` Finale,2020.04.25,Psycho,47,레드벨벳(Red Velvet),2020.04.19,17,2020
슬기로운 의사생활 OST Part 2,2020.04.18,좋은 사람 있으면 소개시켜줘,48,조이 (JOY),2020.04.12,16,2020
PLAY,2020.05.02,PLAY (Feat. 창모),46,청하,2020.04.26,18,2020
MAP OF THE SOUL : 7,2020.05.16,ON,43,방탄소년단,2020.05.10,20,2020
I-LAND Part.1 Signal Song,2020.05.23,Into the I-LAND,42,아이유 (IU),2020.05.17,21,2020
`키스 먼저 할까요?` OST Part 3,2020.05.30,"모든 날, 모든 순간 (Every day, Every Moment)",40,폴킴,2020.05.24,22,2020
아무노래,2020.06.06,아무노래,39,지코 (ZICO),2020.05.31,23,2020
한 걸음 : 흔적,2020.06.13,사랑은 지날수록 더욱 선명하게 남아,38,전상근,2020.06.07,24,2020
이태원 클라쓰 OST Part.2,2020.05.09,시작,44,가호 (Gaho),2020.05.03,19,2020
Speak Your Mind (Deluxe),2020.06.20,2002,36,Anne-Marie,2020.06.14,25,2020
두리쥬와 X LINDA X 신난다,2020.07.04,LINDA (Feat. 윤미래),34,린다G,2020.06.28,27,2020
항해,2020.07.11,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32,AKMU (악뮤),2020.07.05,28,2020
멜로가 체질 OST Part 3,2020.07.18,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,31,장범준,2020.07.12,29,2020
거짓말이라도 해서 널 보고싶어,2020.06.27,거짓말이라도 해서 널 보고싶어,35,백지영,2020.06.21,26,2020
Boyhood,2020.07.25,METEOR,30,창모 (CHANGMO),2020.07.19,30,2020
Love poem,2020.08.08,Blueming,27,아이유 (IU),2020.08.02,32,2020
MAP OF THE SOUL : PERSONA,2020.08.01,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),28,방탄소년단,2020.07.26,31,2020
여름 안에서 (Covered By 싹쓰리),2020.08.22,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),24,"싹쓰리 (유두래곤, 린다G, 비룡)",2020.08.16,34,2020
Dance Monkey,2020.08.29,Dance Monkey,23,Tones And I,2020.08.23,35,2020
어떻게 지내,2020.08.15,어떻게 지내,26,오반 (OVAN),2020.08.09,33,2020
Memories,2020.09.05,Memories,22,Maroon 5,2020.08.30,36,2020
슬기로운 의사생활 OST Part 5,2022.10.01,그대 고운 내사랑,95,어반 자카파 (Urban Zakapa),2022.09.25,40,2022
슬기로운 의사생활 OST Part 5,2022.09.24,그대 고운 내사랑,95,어반 자카파 (Urban Zakapa),2022.09.18,39,2022
Oneiric Diary (幻想日記),2022.10.15,환상동화 (Secret Story of the Swan),91,IZ*ONE (아이즈원),2022.10.09,42,2022
사랑이란 멜로는 없어,2022.10.08,사랑이란 멜로는 없어,88,전상근,2022.10.02,41,2022
MAP OF THE SOUL : 7,2022.10.29,00:00 (Zero O`Clock),83,방탄소년단,2022.10.23,44,2022
To Die For,2022.11.05,To Die For,80,Sam Smith,2022.10.30,45,2022
비,2022.10.22,비,87,폴킴,2022.10.16,43,2022
이태원 클라쓰 OST Part.3,2022.11.12,돌덩이,79,하현우,2022.11.06,46,2022
어떻게 지내 (답가),2022.11.19,어떻게 지내 (답가),75,런치,2022.11.13,47,2022
반만,2022.11.26,반만,73,진민호,2022.11.20,48,2022
나비와 고양이,2020.03.14,나비와 고양이 (Feat. 백현 (BAEKHYUN)),56,볼빨간사춘기,2020.03.08,11,2020
호텔 델루나 OST Part.10,2020.03.07,안녕,57,폴킴,2020.03.01,10,2020
우리 왜 헤어져야 해,2020.03.21,우리 왜 헤어져야 해,55,신예영,2020.03.15,12,2020
YOU NEVER WALK ALONE,2020.04.04,봄날,52,방탄소년단,2020.03.29,14,2020
I met you when I was 18. (the playlist),2020.03.28,Paris In The Rain,53,Lauv,2020.03.22,13,2020
사랑의 불시착 OST Part 11,2020.04.11,마음을 드려요,51,아이유 (IU),2020.04.05,15,2020
슬기로운 의사생활 OST Part 2,2020.04.25,좋은 사람 있으면 소개시켜줘,48,조이 (JOY),2020.04.19,17,2020
MORE & MORE,2020.04.18,MORE & MORE,49,TWICE,2020.04.12,16,2020
`The ReVe Festival` Finale,2020.05.02,Psycho,47,레드벨벳(Red Velvet),2020.04.26,18,2020
이태원 클라쓰 OST Part.2,2020.05.16,시작,44,가호 (Gaho),2020.05.10,20,2020
MAP OF THE SOUL : 7,2020.05.23,ON,43,방탄소년단,2020.05.17,21,2020
CEREMONIA,2020.05.30,처음처럼,41,엠씨더맥스 (M.C The Max),2020.05.24,22,2020
`키스 먼저 할까요?` OST Part 3,2020.06.06,"모든 날, 모든 순간 (Every day, Every Moment)",40,폴킴,2020.05.31,23,2020
아무노래,2020.06.13,아무노래,39,지코 (ZICO),2020.06.07,24,2020
Red Moon : To You My Light,2020.05.09,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),45,마크툽 (Maktub),2020.05.03,19,2020
늦은 밤 너의 집 앞 골목길에서,2020.06.20,늦은 밤 너의 집 앞 골목길에서,37,노을,2020.06.14,25,2020
거짓말이라도 해서 널 보고싶어,2020.07.04,거짓말이라도 해서 널 보고싶어,35,백지영,2020.06.28,27,2020
Don`t Start Now,2020.07.11,Don`t Start Now,33,Dua Lipa,2020.07.05,28,2020
항해,2020.07.18,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32,AKMU (악뮤),2020.07.12,29,2020
Speak Your Mind (Deluxe),2020.06.27,2002,36,Anne-Marie,2020.06.21,26,2020
멜로가 체질 OST Part 3,2020.07.25,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,31,장범준,2020.07.19,30,2020
MAP OF THE SOUL : PERSONA,2020.08.08,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),28,방탄소년단,2020.08.02,32,2020
슬기로운 의사생활 OST Part 11,2020.08.01,사랑하게 될 줄 알았어,29,전미도,2020.07.26,31,2020
두리쥬와 X LINDA X 신난다,2020.08.22,신난다 (Feat. 마마무),25,비룡,2020.08.16,34,2020
여름 안에서 (Covered By 싹쓰리),2020.08.29,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),24,"싹쓰리 (유두래곤, 린다G, 비룡)",2020.08.23,35,2020
Love poem,2020.08.15,Blueming,27,아이유 (IU),2020.08.09,33,2020
Dance Monkey,2020.09.05,Dance Monkey,23,Tones And I,2020.08.30,36,2020
내일은 미스터트롯 트롯 에이드 베스트,2022.10.01,어느 60대 노부부이야기,96,임영웅,2022.09.25,40,2022
내일은 미스터트롯 트롯 에이드 베스트,2022.09.24,어느 60대 노부부이야기,96,임영웅,2022.09.18,39,2022
낭만닥터 김사부 2 OST Part.1,2022.10.15,너를 사랑하고 있어,92,백현 (BAEKHYUN),2022.10.09,42,2022
MAP OF THE SOUL : 7,2022.10.08,친구,89,방탄소년단,2022.10.02,41,2022
MAP OF THE SOUL : 7,2022.10.29,Black Swan,84,방탄소년단,2022.10.23,44,2022
reality in BLACK,2022.11.05,HIP,81,마마무 (Mamamoo),2022.10.30,45,2022
사랑이란 멜로는 없어,2022.10.22,사랑이란 멜로는 없어,88,전상근,2022.10.16,43,2022
To Die For,2022.11.12,To Die For,80,Sam Smith,2022.11.06,46,2022
듣고 싶던 말,2022.11.19,듣고 싶던 말,76,허각,2022.11.13,47,2022
슬기로운 의사생활 OST Part 12,2022.11.26,"너에게 난, 나에게 넌",74,미도와 파라솔,2022.11.20,48,2022
호텔 델루나 OST Part.10,2020.03.14,안녕,57,폴킴,2020.03.08,11,2020
Maniac,2020.03.07,Maniac,58,Conan Gray,2020.03.01,10,2020
나비와 고양이,2020.03.21,나비와 고양이 (Feat. 백현 (BAEKHYUN)),56,볼빨간사춘기,2020.03.15,12,2020
I met you when I was 18. (the playlist),2020.04.04,Paris In The Rain,53,Lauv,2020.03.29,14,2020
Love poem,2020.03.28,Love poem,54,아이유 (IU),2020.03.22,13,2020
YOU NEVER WALK ALONE,2020.04.11,봄날,52,방탄소년단,2020.04.05,15,2020
MORE & MORE,2020.04.25,MORE & MORE,49,TWICE,2020.04.19,17,2020
내일은 미스터트롯 우승자 특전곡,2020.04.18,이제 나만 믿어요,50,임영웅,2020.04.12,16,2020
슬기로운 의사생활 OST Part 2,2020.05.02,좋은 사람 있으면 소개시켜줘,48,조이 (JOY),2020.04.26,18,2020
Red Moon : To You My Light,2020.05.16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),45,마크툽 (Maktub),2020.05.10,20,2020
이태원 클라쓰 OST Part.2,2020.05.23,시작,44,가호 (Gaho),2020.05.17,21,2020
I-LAND Part.1 Signal Song,2020.05.30,Into the I-LAND,42,아이유 (IU),2020.05.24,22,2020
CEREMONIA,2020.06.06,처음처럼,41,엠씨더맥스 (M.C The Max),2020.05.31,23,2020
`키스 먼저 할까요?` OST Part 3,2020.06.13,"모든 날, 모든 순간 (Every day, Every Moment)",40,폴킴,2020.06.07,24,2020
PLAY,2020.05.09,PLAY (Feat. 창모),46,청하,2020.05.03,19,2020
한 걸음 : 흔적,2020.06.20,사랑은 지날수록 더욱 선명하게 남아,38,전상근,2020.06.14,25,2020
Speak Your Mind (Deluxe),2020.07.04,2002,36,Anne-Marie,2020.06.28,27,2020
두리쥬와 X LINDA X 신난다,2020.07.11,LINDA (Feat. 윤미래),34,린다G,2020.07.05,28,2020
Don`t Start Now,2020.07.18,Don`t Start Now,33,Dua Lipa,2020.07.12,29,2020
늦은 밤 너의 집 앞 골목길에서,2020.06.27,늦은 밤 너의 집 앞 골목길에서,37,노을,2020.06.21,26,2020
항해,2020.07.25,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",32,AKMU (악뮤),2020.07.19,30,2020
슬기로운 의사생활 OST Part 11,2020.08.08,사랑하게 될 줄 알았어,29,전미도,2020.08.02,32,2020
Boyhood,2020.08.01,METEOR,30,창모 (CHANGMO),2020.07.26,31,2020
어떻게 지내,2020.08.22,어떻게 지내,26,오반 (OVAN),2020.08.16,34,2020
두리쥬와 X LINDA X 신난다,2020.08.29,신난다 (Feat. 마마무),25,비룡,2020.08.23,35,2020
MAP OF THE SOUL : PERSONA,2020.08.15,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),28,방탄소년단,2020.08.09,33,2020
여름 안에서 (Covered By 싹쓰리),2020.09.05,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),24,"싹쓰리 (유두래곤, 린다G, 비룡)",2020.08.30,36,2020
나가,2022.10.01,나가,97,"먼데이 키즈 (Monday Kiz), 이예준",2022.09.25,40,2022
나가,2022.09.24,나가,97,"먼데이 키즈 (Monday Kiz), 이예준",2022.09.18,39,2022
7th Mini Album [Unforgettable],2022.10.15,Obliviate,93,러블리즈,2022.10.09,42,2022
내일은 미스터트롯 결승전 베스트,2022.10.08,찐이야,90,영탁,2022.10.02,41,2022
시든 꽃에 물을 주듯,2022.10.29,시든 꽃에 물을 주듯,85,HYNN(박혜원),2022.10.23,44,2022
우리家,2022.11.05,만개 (Prod. 신지후),82,김호중,2022.10.30,45,2022
MAP OF THE SOUL : 7,2022.10.22,친구,89,방탄소년단,2022.10.16,43,2022
reality in BLACK,2022.11.12,HIP,81,마마무 (Mamamoo),2022.11.06,46,2022
BLOOM*IZ,2022.11.19,FIESTA,77,IZ*ONE (아이즈원),2022.11.13,47,2022
어떻게 지내 (답가),2022.11.26,어떻게 지내 (답가),75,런치,2022.11.20,48,2022
Maniac,2020.03.14,Maniac,58,Conan Gray,2020.03.08,11,2020
12:45 (Stripped),2020.03.07,12:45 (Stripped),59,Etham,2020.03.01,10,2020
호텔 델루나 OST Part.10,2020.03.21,안녕,57,폴킴,2020.03.15,12,2020
Love poem,2020.04.04,Love poem,54,아이유 (IU),2020.03.29,14,2020
우리 왜 헤어져야 해,2020.03.28,우리 왜 헤어져야 해,55,신예영,2020.03.22,13,2020
I met you when I was 18. (the playlist),2020.04.11,Paris In The Rain,53,Lauv,2020.04.05,15,2020
내일은 미스터트롯 우승자 특전곡,2020.04.25,이제 나만 믿어요,50,임영웅,2020.04.19,17,2020
사랑의 불시착 OST Part 11,2020.04.18,마음을 드려요,51,아이유 (IU),2020.04.12,16,2020
MORE & MORE,2020.05.02,MORE & MORE,49,TWICE,2020.04.26,18,2020
PLAY,2020.05.16,PLAY (Feat. 창모),46,청하,2020.05.10,20,2020
Red Moon : To You My Light,2020.05.23,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),45,마크툽 (Maktub),2020.05.17,21,2020
MAP OF THE SOUL : 7,2020.05.30,ON,43,방탄소년단,2020.05.24,22,2020
I-LAND Part.1 Signal Song,2020.06.06,Into the I-LAND,42,아이유 (IU),2020.05.31,23,2020
CEREMONIA,2020.06.13,처음처럼,41,엠씨더맥스 (M.C The Max),2020.06.07,24,2020
`The ReVe Festival` Finale,2020.05.09,Psycho,47,레드벨벳(Red Velvet),2020.05.03,19,2020
아무노래,2020.06.20,아무노래,39,지코 (ZICO),2020.06.14,25,2020
늦은 밤 너의 집 앞 골목길에서,2020.07.04,늦은 밤 너의 집 앞 골목길에서,37,노을,2020.06.28,27,2020
거짓말이라도 해서 널 보고싶어,2020.07.11,거짓말이라도 해서 널 보고싶어,35,백지영,2020.07.05,28,2020
두리쥬와 X LINDA X 신난다,2020.07.18,LINDA (Feat. 윤미래),34,린다G,2020.07.12,29,2020
한 걸음 : 흔적,2020.06.27,사랑은 지날수록 더욱 선명하게 남아,38,전상근,2020.06.21,26,2020
Don`t Start Now,2020.07.25,Don`t Start Now,33,Dua Lipa,2020.07.19,30,2020
Boyhood,2020.08.08,METEOR,30,창모 (CHANGMO),2020.08.02,32,2020
멜로가 체질 OST Part 3,2020.08.01,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,31,장범준,2020.07.26,31,2020
Love poem,2020.08.22,Blueming,27,아이유 (IU),2020.08.16,34,2020
어떻게 지내,2020.08.29,어떻게 지내,26,오반 (OVAN),2020.08.23,35,2020
슬기로운 의사생활 OST Part 11,2020.08.15,사랑하게 될 줄 알았어,29,전미도,2020.08.09,33,2020
두리쥬와 X LINDA X 신난다,2020.09.05,신난다 (Feat. 마마무),25,비룡,2020.08.30,36,2020
What You Waiting For,2022.10.01,What You Waiting For,98,전소미,2022.09.25,40,2022
What You Waiting For,2022.09.24,What You Waiting For,98,전소미,2022.09.18,39,2022
슬기로운 의사생활 OST Part 8,2022.10.15,내 눈물 모아,94,휘인 (Whee In),2022.10.09,42,2022
